"","Iteration","SampleRemoved","Recall","Unique","PeakNumber","SampleUnique","SampleConserved","UniqueAccum","SampleSpecificPrec","SampleSpecificRecall","PercentUnique"
"28",28,"B038_FSQCAZ0BFDX-03",0.305042436345482,13580,6299,1116,5183,2.25994341820602,0.822829020479441,0.862539524047262,0.177170979520559
"29",29,"B038_FSQDAZ0CB41-01",0.303544682975537,14070,6842,2368,4474,2.34148776834748,0.653902367728734,0.744549841903811,0.346097632271266
"30",30,"B038_FSQEAZ0CBL1-01",0.295223830920286,14187,4947,1155,3792,2.36095856215676,0.766525166767738,0.631053419870195,0.233474833232262
"31",31,"B038_FSQFAZ0CBQN-01",0.292228324180396,14346,5513,1369,4144,2.38741887169246,0.751677852348993,0.689632218339158,0.248322147651007
"32",32,"B038_FSQKAZ0BG6W-01",0.290231319687136,14484,6038,1313,4725,2.41038442336495,0.782543888704869,0.786320519221168,0.217456111295131
"33",33,"B038_FSQKAZ0C234-01",0.288733566317191,14663,5755,1537,4218,2.44017307372275,0.732927888792354,0.701947079380929,0.267072111207646
"34",34,"FSQAAZ0C1RW-02",0.285571642536196,14740,5081,1106,3975,2.45298718588783,0.782326313717772,0.661507738392411,0.217673686282228
"35",35,"FSQBAZ0BSRC-01",0.285571642536196,14749,6371,1039,5332,2.45448493925778,0.836917281431486,0.887335663171909,0.163082718568514
"36",36,"FSQBAZ0C08Q-02",0.28141121650857,15045,5872,1823,4049,2.50374438342486,0.689543596730245,0.673822599434182,0.310456403269755
"37",37,"FSQDAZ0BDS2-03",0.28141121650857,15057,6081,869,5212,2.50574138791812,0.85709587238941,0.867365618239308,0.14290412761059
"38",38,"FSQDAZ0BXW1-02",0.280579131303045,15176,5886,1460,4426,2.52554501580962,0.751953788651036,0.736561823930771,0.248046211348964
"39",39,"FSQEAZ0C2D3-02",0.189881843900815,15244,2145,336,1809,2.53686137460476,0.843356643356643,0.301048427358962,0.156643356643357
"40",40,"FSQFAZ0BZJQ-02",0.18904975869529,15310,5374,1181,4193,2.54784489931769,0.780238183848158,0.697786653353303,0.219761816151842
